,GEOID,eviction_rate,mhi,family_bins,elder_bins,majority_race,corp_bins
115,25025101101,0.072992700729927,59226,family,some elders,Black,low
116,25025101102,0.11981865284974093,48393,family,some elders,Black,low
117,25025110201,0.10754017305315204,67895,family,some elders,Latino,low
118,25025110301,0.019791666666666666,90833,family,some elders,White,low
119,25025110401,0.029239766081871343,78468,family,some elders,White,low
120,25025110403,0.013325608342989572,111328,family,some elders,White,low
121,25025110501,0.004548900682335102,116731,family,some elders,White,low
122,25025110502,0.01555023923444976,106717,mixed,some elders,White,low
123,25025110601,0.004480286738351254,134464,family,some elders,White,low
124,25025110607,0.0074211502782931356,137821,mixed,some elders,White,low
125,25025120103,0.004322766570605188,196563,mixed,some elders,White,medium
126,25025120104,0.004595588235294118,112056,mixed,some elders,White,low
127,25025120105,0.0022172949002217295,163884,family,some elders,White,low
128,25025120201,0.05174035747883349,91200,mixed,some elders,White,medium
129,25025120301,0.0369620253164557,109079,mixed,some elders,White,medium
130,25025120400,0.024062278839348902,122569,mixed,some elders,White,low
131,25025120500,0.01829924650161464,127500,mixed,some elders,White,medium
132,25025120600,0.0053811659192825115,130000,mixed,some elders,White,low
133,25025120700,0.011811023622047244,123700,mixed,some elders,White,low
134,25025130200,0.007882291119285338,122266,family,some elders,White,low
135,25025130300,0.00859106529209622,135966,family,some elders,White,low
136,25025130402,0.029217719132893498,99708,mixed,some elders,White,low
137,25025130404,0.022116903633491312,85066,mixed,some elders,White,low
138,25025130406,0.09788469514724181,44115,mixed,some elders,Black,low
139,25025140102,0.03416856492027335,112927,family,some elders,Black,low
140,25025140105,0.02641802641802642,91488,family,some elders,Latino,low
141,25025140106,0.1681127982646421,33235,mixed,some elders,Black,low
142,25025140107,0.026590693257359924,87826,family,some elders,Black,low
143,25025140201,0.07362637362637363,100179,family,some elders,White,medium
144,25025140202,0.030732860520094562,110179,family,some elders,White,low
145,25025140300,0.06356773937226858,80696,family,some elders,Black,medium
146,25025140400,0.058989756269869305,67260,family,some elders,Black,low
147,25025980300,0.0,,non-family,some elders,Black,low
148,25025980700,0.5,,family,,Other,low
149,25025981000,0.0,,family,,Latino,low
150,25025981100,13.5,,family,no elders,Latino,high
151,25025981201,,,,,Latino,low
152,25025981202,0.0,,,,Other,high
153,25025981502,0.25,,family,some elders,Latino,high
154,25025981700,0.0,,family,,Other,medium
155,25025981800,0.25,,mixed,some elders,White,low
