GEOID,eviction_2020, eviction_2021,eviction_2022,eviction_2023,own_occ_rate,corp_own_rate,median_yearbuilt,median_price,median_prslpr,mortgage,median_totrooms,median_bathrooms,median_bedrooms,median_lotsize,median_intersf,median_flip_horizon,median_price_diff,median_price_diff_pch,median_lasqbin,mean_month_horizon,buyer_llc_ind_sum,buyer_bus_ind_sum,buyer_trst_ind_sum,buyer_bnk_ind_sum,buyer_gse_ind_sum,buyer_gov_ind_sum,seller_llc_ind_sum,seller_llp_ind_sum,seller_bus_ind_sum,seller_trst_ind_sum,seller_bnk_ind_sum,seller_gse_ind_sum,seller_gov_ind_sum,flip_ind_sum,buy_side_flip_sum,sell_side_flip_sum,restype_R1F_sum,sum_institutional_investor,sum_large_investor,sum_medium_investor,sum_non_investor,sum_small_investor,sum_non_small_llc_investor,sum_small_llc_investor,count_1.FAM.RES,count_2.FAM.RES,count_3.FAM.RES,count_CONDOMINIUM,count_RES.DEV.LAND,percent_owners,num_sales_transactions,years,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fam,hh,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me
25025091200,9.0,9.0,13.0,20.0,0.5098814229249012,0.1646903820816864,1905.0,263155.0,37750.0,213350.0,6.0,1,3.0,1422.5,1314.0,739.0,22477.5,9.89,1350.5,11.0,10,7,13,12,6,0,16,0,13,25,24,4,0,42,43,42,43,26.0,12.0,12.0,308.0,16.0,350.0,24.0,43.0,29.0,68.0,216.0,0.0,31.3,374,2010.0,3234.0,1642.0,1592.0,750.0,2235.0,249.0,981.0,762.0,5.0,196.0,5.0,390.0,198.0,697.0,634.0,1160.0,634.0,210.0,148.0,120.0,94.0,33.0,29.0,526.0,351.0,129.0,27.0,9.0,5.0,3.0,2.0,2007-11,66463.0,10452.0,69545.0,46386.0,65625.0,22012.0
25025091300,16.0,14.0,11.0,30.0,0.4045174537987679,0.1806981519507187,1905.0,270603.5,0.0,158000.0,6.0,2,3.0,2472.5,1752.0,817.0,25000.0,10.79,1900.5,11.0,15,14,11,13,9,0,33,0,13,29,28,5,5,28,32,28,45,45.0,10.0,15.0,210.0,10.0,264.0,26.0,45.0,47.0,55.0,83.0,3.0,42.4,290,2010.0,2499.0,1206.0,1293.0,710.0,1604.0,185.0,165.0,869.0,6.0,81.0,1.0,644.0,201.0,532.0,577.0,790.0,577.0,130.0,155.0,121.0,95.0,40.0,36.0,213.0,170.0,31.0,5.0,3.0,4.0,0.0,0.0,2007-11,30691.0,2560.0,31429.0,31663.0,30175.0,6423.0
25025091400,19.0,16.0,12.0,42.0,0.4288288288288288,0.1765765765765765,1910.0,220000.0,70500.0,152000.0,7.0,2,3.0,3183.0,1698.0,367.0,3098.0,1.08,1650.5,9.0,11,12,8,19,3,0,22,0,34,16,38,3,2,32,33,32,71,30.0,12.0,8.0,217.0,8.0,246.0,29.0,71.0,56.0,33.0,73.0,1.0,46.9,275,2010.0,2741.0,1304.0,1437.0,717.0,1812.0,212.0,196.0,1267.0,6.0,26.0,1.0,262.0,181.0,802.0,611.0,879.0,611.0,179.0,168.0,116.0,86.0,32.0,30.0,268.0,229.0,21.0,11.0,3.0,2.0,1.0,1.0,2007-11,27708.0,10632.0,52333.0,17716.0,18681.0,6171.0
25025091500,25.0,16.0,16.0,30.0,0.5,0.1217672413793103,1905.0,271500.0,87000.0,200000.0,8.0,2,4.0,2345.0,1944.0,561.0,-40000.0,-14.72,2050.5,9.0,36,22,34,48,12,0,60,0,31,69,96,8,3,95,101,95,31,105.0,27.0,40.0,457.0,36.0,586.0,79.0,31.0,87.0,208.0,298.0,4.0,30.5,665,2010.0,4370.0,2094.0,2276.0,1183.0,2815.0,372.0,407.0,1735.0,8.0,202.0,0.0,749.0,352.0,917.0,987.0,1470.0,987.0,243.0,262.0,220.0,129.0,64.0,69.0,483.0,366.0,89.0,18.0,6.0,1.0,2.0,1.0,2007-11,41810.0,5960.0,72031.0,15605.0,31571.0,6775.0
25025091600,19.0,15.0,22.0,17.0,0.3898550724637681,0.2057971014492753,1905.0,250000.0,97500.0,178500.0,6.0,2,3.0,2333.0,1796.0,679.5,7000.0,2.89,1850.5,11.0,17,14,17,25,16,0,25,0,20,52,52,14,2,67,72,67,59,64.0,15.0,20.0,365.0,35.0,463.0,36.0,59.0,46.0,149.0,204.0,0.0,27.3,499,2010.0,3138.0,1508.0,1630.0,855.0,2038.0,245.0,385.0,1015.0,9.0,805.0,0.0,263.0,175.0,486.0,704.0,1043.0,704.0,182.0,169.0,147.0,118.0,48.0,40.0,339.0,263.0,55.0,14.0,4.0,0.0,1.0,2.0,2007-11,38116.0,5953.0,90500.0,24387.0,26415.0,10326.0
25025091700,9.0,15.0,25.0,22.0,0.4759259259259259,0.1148148148148148,1905.0,275000.0,135000.0,209950.0,11.0,3,5.0,3363.0,2919.0,607.0,-40000.0,-13.01,2950.5,10.0,37,16,36,41,6,0,25,0,24,43,85,3,11,80,82,80,29,81.0,35.0,23.0,328.0,38.0,428.0,77.0,29.0,58.0,211.0,161.0,7.0,31.3,505,2010.0,3069.0,1450.0,1619.0,902.0,1981.0,186.0,200.0,1440.0,10.0,127.0,0.0,456.0,204.0,632.0,711.0,917.0,711.0,154.0,193.0,159.0,108.0,53.0,44.0,206.0,141.0,40.0,11.0,10.0,3.0,0.0,1.0,2007-11,46807.0,5550.0,76250.0,24537.0,43138.0,8348.0
25025091800,18.0,18.0,24.0,21.0,0.4560906515580736,0.1430594900849858,1905.0,275000.0,128900.0,200200.0,12.0,3,6.0,3408.5,3038.5,460.5,1742.5,0.775,3050.5,10.0,25,15,31,39,10,0,28,0,34,55,71,6,10,98,104,98,62,68.0,29.0,21.0,335.0,29.0,426.0,56.0,62.0,69.0,222.0,67.0,8.0,31.1,482,2010.0,3452.0,1589.0,1863.0,1023.0,2112.0,317.0,132.0,1798.0,14.0,59.0,0.0,524.0,212.0,713.0,793.0,1042.0,793.0,191.0,191.0,177.0,122.0,55.0,57.0,249.0,190.0,34.0,13.0,9.0,0.0,1.0,2.0,2007-11,55473.0,14134.0,85845.0,27304.0,29128.0,17863.0
25025091900,20.0,20.0,52.0,61.0,0.4322916666666667,0.1158854166666666,1900.0,270000.0,115000.0,200749.0,10.0,2,5.0,3491.0,2460.0,483.0,-1000.0,-0.685,2450.5,10.0,18,20,21,38,11,0,14,0,31,20,67,4,3,61,64,61,74,69.0,15.0,23.0,291.0,15.0,359.0,54.0,74.0,93.0,96.0,82.0,10.0,30.0,413,2010.0,3860.0,1743.0,2117.0,1167.0,2406.0,287.0,94.0,2699.0,17.0,12.0,0.0,97.0,117.0,824.0,920.0,1244.0,920.0,223.0,251.0,218.0,118.0,61.0,49.0,324.0,270.0,34.0,9.0,7.0,1.0,2.0,1.0,2007-11,35144.0,9958.0,61912.0,17596.0,28900.0,7894.0
25025092000,21.0,23.0,44.0,47.0,0.5057339449541285,0.1192660550458715,1905.0,295000.0,133000.0,211125.0,12.0,2,6.0,3437.5,2886.0,591.0,-20450.0,-6.255,2950.5,10.0,22,17,34,49,15,0,30,0,22,57,93,11,6,77,89,77,100,95.0,41.0,27.0,382.0,39.0,518.0,66.0,100.0,152.0,204.0,92.0,3.0,31.7,584,2010.0,4945.0,2421.0,2524.0,1292.0,3208.0,445.0,258.0,2676.0,11.0,467.0,4.0,220.0,258.0,1051.0,1095.0,1532.0,1095.0,288.0,241.0,233.0,166.0,89.0,78.0,437.0,319.0,73.0,21.0,8.0,9.0,4.0,3.0,2007-11,44796.0,4998.0,67440.0,9749.0,32934.0,4708.0
25025092101,22.0,19.0,47.0,48.0,0.4765177548682703,0.1672394043528064,1905.0,265000.0,82500.0,199200.0,5.0,2,3.0,1520.0,1266.0,732.0,0.0,0.0,1250.5,10.0,58,24,53,54,26,1,97,0,38,105,103,18,6,136,146,136,181,122.0,31.0,57.0,847.0,68.0,1027.0,98.0,181.0,133.0,148.0,585.0,1.0,32.3,1125,2010.0,6451.0,3116.0,3335.0,1550.0,4279.0,622.0,1906.0,1413.0,10.0,2026.0,3.0,181.0,223.0,689.0,1409.0,2252.0,1409.0,414.0,369.0,315.0,156.0,82.0,73.0,843.0,621.0,155.0,40.0,13.0,8.0,3.0,3.0,2007-11,48700.0,10519.0,82168.0,19075.0,31211.0,10004.0
